Seção	Divisão	Grupo	Classe	Subclasse 2.3	Denominação	Até 200 m2	De 200 m2 a 400 m2	acima de 400 m2
A					AGRICULTURA, PECUÁRIA, PRODUÇÃO FLORESTAL, PESCA E AQUICULTURA			
	01				AGRICULTURA, PECUÁRIA E SERVIÇOS RELACIONADOS			
		01.1			Produção de lavouras temporárias			
			01.11-3		Cultivo de cereais			
				0111-3/01	Cultivo de arroz	Alto	Alto	Alto
				0111-3/02	Cultivo de milho	Alto	Alto	Alto
				0111-3/03	Cultivo de trigo	Alto	Alto	Alto
				0111-3/99	Cultivo de outros cereais não especificados anteriormente	Alto	Alto	Alto
			01.12-1		Cultivo de algodão herbáceo e de outras fibras de lavoura temporária			
				0112-1/01	Cultivo de algodão herbáceo	Alto	Alto	Alto
				0112-1/02	Cultivo de juta	Alto	Alto	Alto
				0112-1/99	Cultivo de outras fibras de lavoura temporária não especificadas anteriormente	Alto	Alto	Alto
			01.13-0		Cultivo de cana-de-açúcar			
				0113-0/00	Cultivo de cana-de-açúcar	Alto	Alto	Alto
			01.14-8		Cultivo de fumo			
				0114-8/00	Cultivo de fumo	Alto	Alto	Alto
			01.15-6		Cultivo de soja			
				0115-6/00	Cultivo de soja	Alto	Alto	Alto
			01.16-4		Cultivo de oleaginosas de lavoura temporária, exceto soja			
				0116-4/01	Cultivo de amendoim	Alto	Alto	Alto
				0116-4/02	Cultivo de girassol	Alto	Alto	Alto
				0116-4/03	Cultivo de mamona	Alto	Alto	Alto
				0116-4/99	Cultivo de outras oleaginosas de lavoura temporária não especificadas anteriormente	Alto	Alto	Alto
			01.19-9		Cultivo de plantas de lavoura temporária não especificadas anteriormente			
				0119-9/01	Cultivo de abacaxi	Alto	Alto	Alto
				0119-9/02	Cultivo de alho	Alto	Alto	Alto
				0119-9/03	Cultivo de batata-inglesa	Alto	Alto	Alto
				0119-9/04	Cultivo de cebola	Alto	Alto	Alto
				0119-9/05	Cultivo de feijão	Alto	Alto	Alto
				0119-9/06	Cultivo de mandioca	Alto	Alto	Alto
				0119-9/07	Cultivo de melão	Alto	Alto	Alto
				0119-9/08	Cultivo de melancia	Alto	Alto	Alto
				0119-9/09	Cultivo de tomate rasteiro	Alto	Alto	Alto
				0119-9/99	Cultivo de outras plantas de lavoura temporária não especificadas anteriormente	Alto	Alto	Alto
		01.2			Horticultura e floricultura			
			01.21-1		Horticultura			
				0121-1/01	Horticultura, exceto morango	Alto	Alto	Alto
				0121-1/02	Cultivo de morango	Alto	Alto	Alto
			01.22-9		Cultivo de flores e plantas ornamentais			
				0122-9/00	Cultivo de flores e plantas ornamentais	Alto	Alto	Alto
		01.3			Produção de lavouras permanentes			
			01.31-8		Cultivo de laranja			
				0131-8/00	Cultivo de laranja	Alto	Alto	Alto
			01.32-6		Cultivo de uva			
				0132-6/00	Cultivo de uva	Alto	Alto	Alto
			01.33-4		Cultivo de frutas de lavoura permanente, exceto laranja e uva			
				0133-4/01	Cultivo de açaí	Alto	Alto	Alto
				0133-4/02	Cultivo de banana	Alto	Alto	Alto
