codigo	divisao	denominacao	ate100	100a200	200a400	acima400	usoate100	uso100a200	uso200a400	usoacima400
01.11-3-01	AGRICULTURA, PECUÁRIA E SERVIÇOS RELACIONADOS	Cultivo de arroz	Alto	Alto	Alto	Alto	CSA	CSA	CSA	CSA
01.11-3-02	AGRICULTURA, PECUÁRIA E SERVIÇOS RELACIONADOS	Cultivo de milho	Alto	Alto	Alto	Alto	CSA	CSA	CSA	CSA
01.11-3-03	AGRICULTURA, PECUÁRIA E SERVIÇOS RELACIONADOS	Cultivo de trigo	Alto	Alto	Alto	Alto	CSA	CSA	CSA	CSA
01.11-3-99	AGRICULTURA, PECUÁRIA E SERVIÇOS RELACIONADOS	Cultivo de outros cereais não especificados anteriormente	Alto	Alto	Alto	Alto	CSA	CSA	CSA	CSA
01.12-1-01	AGRICULTURA, PECUÁRIA E SERVIÇOS RELACIONADOS	Cultivo de algodão herbáceo	Alto	Alto	Alto	Alto	CSA	CSA	CSA	CSA
01.12-1-02	AGRICULTURA, PECUÁRIA E SERVIÇOS RELACIONADOS	Cultivo de juta	Alto	Alto	Alto	Alto	CSA	CSA	CSA	CSA
01.12-1-99	AGRICULTURA, PECUÁRIA E SERVIÇOS RELACIONADOS	Cultivo de outras fibras de lavoura temporária não especificadas anteriormente	Alto	Alto	Alto	Alto	CSA	CSA	CSA	CSA
01.13-0-00	AGRICULTURA, PECUÁRIA E SERVIÇOS RELACIONADOS	Cultivo de cana-de-açúcar	Alto	Alto	Alto	Alto	CSA	CSA	CSA	CSA
01.14-8-00	AGRICULTURA, PECUÁRIA E SERVIÇOS RELACIONADOS	Cultivo de fumo	Alto	Alto	Alto	Alto	CSA	CSA	CSA	CSA
01.15-6-00	AGRICULTURA, PECUÁRIA E SERVIÇOS RELACIONADOS	Cultivo de soja	Alto	Alto	Alto	Alto	CSA	CSA	CSA	CSA
01.16-4-01	AGRICULTURA, PECUÁRIA E SERVIÇOS RELACIONADOS	Cultivo de amendoim	Alto	Alto	Alto	Alto	CSA	CSA	CSA	CSA
01.16-4-02	AGRICULTURA, PECUÁRIA E SERVIÇOS RELACIONADOS	Cultivo de girassol	Alto	Alto	Alto	Alto	CSA	CSA	CSA	CSA
01.16-4-03	AGRICULTURA, PECUÁRIA E SERVIÇOS RELACIONADOS	Cultivo de mamona	Alto	Alto	Alto	Alto	CSA	CSA	CSA	CSA
01.16-4-99	AGRICULTURA, PECUÁRIA E SERVIÇOS RELACIONADOS	Cultivo de outras oleaginosas de lavoura temporária não especificadas anteriormente	Alto	Alto	Alto	Alto	CSA	CSA	CSA	CSA
01.19-9-01	AGRICULTURA, PECUÁRIA E SERVIÇOS RELACIONADOS	Cultivo de abacaxi	Alto	Alto	Alto	Alto	CSA	CSA	CSA	CSA
01.19-9-02	AGRICULTURA, PECUÁRIA E SERVIÇOS RELACIONADOS	Cultivo de alho	Alto	Alto	Alto	Alto	CSA	CSA	CSA	CSA
01.19-9-03	AGRICULTURA, PECUÁRIA E SERVIÇOS RELACIONADOS	Cultivo de batata-inglesa	Alto	Alto	Alto	Alto	CSA	CSA	CSA	CSA
01.19-9-04	AGRICULTURA, PECUÁRIA E SERVIÇOS RELACIONADOS	Cultivo de cebola	Alto	Alto	Alto	Alto	CSA	CSA	CSA	CSA
01.19-9-05	AGRICULTURA, PECUÁRIA E SERVIÇOS RELACIONADOS	Cultivo de feijão	Alto	Alto	Alto	Alto	CSA	CSA	CSA	CSA
01.19-9-06	AGRICULTURA, PECUÁRIA E SERVIÇOS RELACIONADOS	Cultivo de mandioca	Alto	Alto	Alto	Alto	CSA	CSA	CSA	CSA
01.19-9-07	AGRICULTURA, PECUÁRIA E SERVIÇOS RELACIONADOS	Cultivo de melão	Alto	Alto	Alto	Alto	CSA	CSA	CSA	CSA
01.19-9-08	AGRICULTURA, PECUÁRIA E SERVIÇOS RELACIONADOS	Cultivo de melancia	Alto	Alto	Alto	Alto	CSA	CSA	CSA	CSA
01.19-9-09	AGRICULTURA, PECUÁRIA E SERVIÇOS RELACIONADOS	Cultivo de tomate rasteiro	Alto	Alto	Alto	Alto	CSA	CSA	CSA	CSA
01.19-9-99	AGRICULTURA, PECUÁRIA E SERVIÇOS RELACIONADOS	Cultivo de outras plantas de lavoura temporária não especificadas anteriormente	Alto	Alto	Alto	Alto	CSA	CSA	CSA	CSA
01.21-1-01	AGRICULTURA, PECUÁRIA E SERVIÇOS RELACIONADOS	Horticultura, exceto morango	Alto	Alto	Alto	Alto	CSA	CSA	CSA	CSA
01.21-1-02	AGRICULTURA, PECUÁRIA E SERVIÇOS RELACIONADOS	Cultivo de morango	Alto	Alto	Alto	Alto	CSA	CSA	CSA	CSA
01.22-9-00	AGRICULTURA, PECUÁRIA E SERVIÇOS RELACIONADOS	Cultivo de flores e plantas ornamentais	Alto	Alto	Alto	Alto	CSA	CSA	CSA	CSA
01.31-8-00	AGRICULTURA, PECUÁRIA E SERVIÇOS RELACIONADOS	Cultivo de laranja	Alto	Alto	Alto	Alto	CSA	CSA	CSA	CSA
01.32-6-00	AGRICULTURA, PECUÁRIA E SERVIÇOS RELACIONADOS	Cultivo de uva	Alto	Alto	Alto	Alto	CSA	CSA	CSA	CSA
01.33-4-01	AGRICULTURA, PECUÁRIA E SERVIÇOS RELACIONADOS	Cultivo de açaí	Alto	Alto	Alto	Alto	CSA	CSA	CSA	CSA
01.33-4-02	AGRICULTURA, PECUÁRIA E SERVIÇOS RELACIONADOS	Cultivo de banana	Alto	Alto	Alto	Alto	CSA	CSA	CSA	CSA
01.33-4-03	AGRICULTURA, PECUÁRIA E SERVIÇOS RELACIONADOS	Cultivo de caju	Alto	Alto	Alto	Alto	CSA	CSA	CSA	CSA
01.33-4-04	AGRICULTURA, PECUÁRIA E SERVIÇOS RELACIONADOS	Cultivo de cítricos, exceto laranja	Alto	Alto	Alto	Alto	CSA	CSA	CSA	CSA
01.33-4-05	AGRICULTURA, PECUÁRIA E SERVIÇOS RELACIONADOS	Cultivo de coco-da-baía	Alto	Alto	Alto	Alto	CSA	CSA	CSA	CSA
01.33-4-06	AGRICULTURA, PECUÁRIA E SERVIÇOS RELACIONADOS	Cultivo de guaraná	Alto	Alto	Alto	Alto	CSA	CSA	CSA	CSA
